review,final_text,label
GREAT value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Ne ressemble pas du tout à la description. Complète arnaque.,ne ressemble pas du tout à la description complète arnaque,0
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
"Excelente producto, lo recomendaría sin dudarlo.",excelente producto lo recomendaría sin dudarlo,2
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,2
"Funciona, aunque la calidad deja algo que desear.",funciona aunque la calidad deja algo que desear,1
Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,tolle qualität und super preisleistungsverhältnis empfehle es,2
"Amazing product, my whole family LOVES it. Thank you!",amazing product whole family loves thank,2
Calidad excepcional para el precio. Muy recomendable.,calidad excepcional para el precio muy recomendable,2
Exactly what I was looking for. Great price.,exactly looking great price,2
I've used better products but this one is functional.,ive used better products one functional,1
Terrible servicio al cliente. Jamás volvería a comprar aquí.,terrible servicio al cliente jamás volvería comprar aquí,0
Good value for money. Highly recommend it!,good value money highly recommend,2
Good value for money. Highly recommend it!,good value money highly recommend,2
Fantastic item! Exceeded all my expectations.,fantastic item exceeded expectations,2
"Honnêtement, c'est passable. Pas sûr de recommander.",honnêtement cest passable pas sûr de recommander,1
Exactly what I was looking for. Great price.,exactly looking great price,2
"EXCELLENT product, highly recommend! BEST EVER!!!",excellent product highly recommend best ever,2
Excellent quality and fast shipping. Will definitely buy again.,excellent quality fast shipping definitely buy,2
Llegó en perfectas condiciones y es tal y como se describe.,llegó en perfectas condiciones es tal como se describe,2
Acceptable quality. Could be improved.,acceptable quality could improved,1
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
Does the job. Not amazing but not bad either.,job amazing bad either,1
Muy buena relación calidad-precio. Repetiré la compra.,muy buena relación calidadprecio repetiré la compra,2
Fantastic item! Exceeded all MY expectations.,fantastic item exceeded expectations,2
Publicidad engañosa. Quiero mi dinero de vuelta.,publicidad engañosa quiero mi dinero de vuelta,0
Akzeptable Qualität. Könnte besser sein. 😍,akzeptable qualität könnte besser sein,1
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
Je suis vraiment content de cet achat. Je recommande vivement.,je suis vraiment content de cet achat je recommande vivement,2
It's alright. Nothing to complain about really.,alright nothing complain really,1
¡Increíble! Me encanta mucho.,increíble encanta mucho,2
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
"Bin BEGEISTERT! Qualität top, Lieferung blitzschnell.",bin begeistert qualität top lieferung blitzschnell,2
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
Llegó en perfectas condiciones y es tal y como se describe.,llegó en perfectas condiciones es tal como se describe,2
Decent enough. Not sure I would buy it again though.,decent enough sure would buy though,1
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Ne ressemble pas du tout à la description. Complète arnaque.,ne ressemble pas du tout à la description complète arnaque,2
Producto básico. Cumple su función sin más.,producto básico cumple su función sin más,1
Pasable. Hay mejores opciones en el mercado.,pasable hay mejores opciones en el mercado,1
Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,perfekte verarbeitung sieht noch besser aus als auf dem foto,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
It arrived on time. Quality is acceptable for the price.,arrived time quality acceptable price,1
Excellent! Je suis très satisfait. Cinq étoiles méritées.,excellent je suis très satisfait cinq étoiles méritées,2
Livraison rapide et produit conforme à la description. Parfait!,livraison rapide et produit conforme à la description parfait,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
I've used better products but this ONE is functional.,ive used better products one functional,1
Exactly what I was looking for. Great price.,exactly looking great price,2
"Excelente producto, lo recomendaría sin dudarlo. 👍",excelente producto lo recomendaría sin dudarlo,2
Muy decepcionado. El producto llegó roto y el soporte es inútil.,muy decepcionado el producto llegó roto el soporte es inútil,0
"Superb quality, very sturdy and well-made. Five stars.",superb quality sturdy wellmade five stars,2
"Livraison soignée, produit de qualité. Recommande fortement.",livraison soignée produit de qualité recommande fortement,2
Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.,dans la moyenne rien ne particulièrement déçu ou impressionné,1
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
Regular tirando a bien. Cumple con lo básico.,regular tirando bien cumple con lo básico,1
Good value for money. Highly recommend it!,good value money highly recommend,0
Me ha sorprendido gratamente. Muy buena compra.,ha sorprendido gratamente muy buena compra,2
"Superb quality, very sturdy and well-made. Five stars.",superb quality sturdy wellmade five stars,2
Exactly what I was looking for. Great price.,exactly looking great price,2
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
Utterly useless product. Straight in the bin.,utterly useless product straight bin,0
Schreckliche Qualität. Ich werde hier nie wieder bestellen.,schreckliche qualität ich werde hier nie wieder bestellen,0
Producto básico. Cumple su función sin más.,producto básico cumple su función sin más,1
Ni bien ni mal. Hace lo que se supone que debe hacer. ⭐,ni bien ni mal hace lo que se supone que debe hacer,1
Produkt nach zwei Tagen kaputt. Totaler Schrott.,produkt nach zwei tagen kaputt totaler schrott,0
¡Maravilloso! Toda la familia está encantada con el producto.,maravilloso toda la familia está encantada con el producto,2
Très content de mon achat. Le produit est encore mieux en VRAI.,très content de mon achat le produit est encore mieux en vrai,2
"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassige qualität sehr zufrieden gerne wieder,2
Super produit! Exactly comme décrit. Livraison express. Bravo!,super produit exactly comme décrit livraison express bravo,2
Product arrived quickly and LOOKS exactly as described. Very happy.,product arrived quickly looks exactly described happy,2
